Aali Pascha	1815
Echeverria	1809
Joseph Echteler	5. Jan. 1853
Karl Echtermeier	27. Okt. 1845
Echtermeyer	1805
Adolf Echtler	5. Jan. 1843
Johann Eck	13. Nov. 1486
Julius von Eckardt	1. Aug. 1836
Eckenberg	1685
Themistokles von Eckenbrecher	17. Nov. 1842
Johann Peter Eckermann	21. Sept. 1792
Christopher Wilhelm Eckersberg	2. Jan 1783
Joseph Hilarius Eckhel	13. Jan. 1737
Ernst Eckstein	6. Febr. 1845
Friedrich August Eckstein	6. Mai 1810
Gerard Edelinck	20. Okt. 1640
Ludwig Edelsheim	24. Okt. 1823
Leopold Wilhelm Edelsheim-Gyulai	10. Mai 1826
Joseph Maria Eder	6. März 1855
Maria Edgeworth	1. Jan. 1767
Edhem Pascha	1851
Thomas Alva Edison	10. Febr. 1847
Eduard der Bekenner	1002
Eduard I.	17. Juni 1239
Eduard II.	25. April 1284
Eduard III.	13. Nov. 1312
Eduard IV.	28. April 1442
Eduard VI.	12. Okt. 1537
Eduard VII.	9. Nov. 1841
Eduard	15. Juni 1330
Edwards	1831
Edwards	1828
Gerbrand van den Eeckhout	19. Aug. 1621
Eeckhout	1793
Frederik van Eeden	3. April 1860
Georges Eekhoud	27. Mai 1854
Edmond van Eetvelde	21. April 1852
Egan	1814
Hans Egede	31. Jan 1686
Gottlob Egelhaaf	1. März 1848
Moritz von Egidy	29. Aug. 1847
Johann Jakob Egli	17. Mai 1825
Lamoral Egmond	18. Nov. 1522
Karl Theodor Eheberg	31. Jan. 1855
Ernst Heinrich Ehlers	11. Nov. 1835
Otto Ehlers	31. Jan. 1855
Christian Gottfried Ehrenberg	19. April 1795
Karl Ehrenberg	6. Nov. 1840
Paul Ehrlich	14. März 1854
Josef Eichendorff	10. März 1788
Johann Albr. Friedrich Eichhorn	2. März 1779
Johann Gottfried Eichhorn	16. Okt. 1752
Hermann Eichhorst	3. März 1849
August Wilhelm Eichler	22. April 1839
Ludwig Eichrodt	2. Febr. 1827
Heinrich Karl Abraham Eichstädt	8. Aug. 1772
Rudolf Eichstädt	20. April 1857
Eiffelturm	15. Dez. 1832
Gerd Eilers	31. Jan. 1788
Gustav Eilers	28. Juli 1834
Karl von Einem	1. Jan. 1853
Friedrich Hildebrand von Einsiedel	30. April 1750
Ernst Eiselen	27. Sept. 1793
Eisenbart	1661
Eisenhoit	1554
Ferencz Eisenhut	26. Jan. 1857
August Eisenlohr	25. Febr. 1833
Jakob Friedrich Eisenlohr	23. Nov. 1805
August Eisenmenger	11. Febr. 1830
Eisenmenger	1654
Eissenhardt	1824
Rudolph Eitelberger	17. April 1817
Knut Ekwall	3. April 1843
Eleonore	1122
Thomas Bru Elgin und Kincardine	20. Juli 1766
Jean Baptis Elie de Beaumont	25. Sept. 1798
Elisabeth	1383
Elisabeth	1485
Elisabeth Charlotte	1597
Elisabeth Königin von England	7. Sept. 1533
Philippine Marie Hélène von Frankreich, Elisabeth	3. Mai 1764
Elisabeth Charlotte	27. Mai 1652
Elisabeth Kaiserin von Österreich	24. Dez. 1837
Elisabeth Kurfürstin von der Pfalz	19. Aug. 1596
Elisabeth Königin von Preußen	13. Nov. 1801
Elisabeth Königin von Rumänien	29. Dez. 1843
Elisabeth Kaiserin von Rußland	29. Dez. 1709
Elisabeth Farnese Königin von Spanien	25. Okt. 1692
Elisabeth	1207
Ellerianische Sekte	4. Juli 1690
Francis Egerton Ellesmere	1. Jan. 1800
Ebenezer Elliot	17. März 1781
Franziska Ellmenreich	28. Jan. 1849
Fanny Elßler	23. Juni 1810
Karl Elze	22. Mai 1821
Elzevier	1583
Marcellus Emants	21. Aug. 1848
Emanuel I.	3. Mai 1469
Emanuel Philibert	8. Juli 1528
Wilhelm Emelé	20. Mai 1830
Ralph Waldo Emerson	25. Mai 1803
Eminescu	1850
Emin Pascha	28. März 1840
Emma Königin der Niederlande	2. Aug. 1858
Emmerich	1774
Arwed Emminghaus	22. Aug. 1831
Hermann Emminghaus	20. Mai 1845
Hieronymus Emser	26. März 1477
Erdmann Encke	26. Jan. 1843
Johann Franz Encke	23. Sept. 1791
Hermann Ende	4. März 1829
Wilhelm Endemann	24. April 1825
Stephan Ladislaus Endlicher	24. Juni 1804
Barthélemy Prosper Enfantin	8. Febr. 1796
Eduard Engel	12. Nov. 1851
Ernst Engel	26. März 1821
Johann Jakob Engel	11. Sept. 1741
Karl Engelhorn	1. März 1849
Theodor Wilhelm Engelmann	14. Nov. 1843
Wilhelm Engelmann	1. Aug. 1808
Friedrich Engels	28. Nov. 1820
Georg Engels	12. Jan. 1846
Eduard Engerth	13. Mai 1818
Ludwig Antoine Heinrich von Bourb Enghien	2. Aug. 1772
Adolf Engler	25. März 1844
Karl Engler	5. Jan. 1842
Karl von Enhuber	16. Dez. 1811
Ludwig Enneccerus	1. April 1843
Joseph Ennemoser	15. Nov. 1787
Enzio	1224
Eon de Beaumont	5. Okt. 1728
Joseph Eötvös	3. Sept. 1813
Charles Michel Epée	25. Nov. 1712
Louise Florence Pétronille Epinay	11. März 1726
Simon Episcopius	1. Jan. 1538
Sébastien Erard	5. April 1752
Desiderius Erasmus	28. Okt. 1467
Erastus	1524
Wilhelm Heinrich Erb	30. Nov. 1840
Joseph Erben	29. April 1830
Karl Jaromir Erben	7. Nov. 1811
Ercilla y Zúñiga	1533
Erckmann-Chatrian	20. Mai 1822
Alexander Erdély	1. Aug. 1839
Erdélyi	1814
Benno Erdmann	30. Mai 1851
Johann Eduard Erdmann	13. Juni 1805
Otto Erdmann	7. Dez. 1834
Erdmannsdörfer	28. Juni 1847
Friedrich Wilhelm von Erdmannsdorff	18. Mai 1736
Bernhard Erdmannsdörffer	24. Jan. 1833
Luise Erhartt	22. Febr. 1844
John Ericsson	31. Juli 1803
Ludwig Erk	6. Jan. 1807
Franz Erkel	7. Nov. 1810
Adolf Erman	31. Okt. 1854
Johann August Ernesti	4. Aug. 1707
Ernst August	1629
Ernst August König von Hannover	5. Juni 1771
Ernst Ludwig Großherzog von Hessen und bei Rhein,	25. Nov. 1868
Graf und Edler Herr zur Lippe-Biesterfeld Ernst	9. Juni 1842
Ernst	24. März 1441
Ernst Herzog von Sachsen-Altenburg	16. Sept. 1826
Ernst I.	2. Jan. 1784
Ernst II.	21. Juni 1818
Ernst I.	25. Dez. 1601
Ernst II.	30. Jan. 1745
Ernst August Herzog von Sachsen-Weimar	19. April 1688
Ernst Günther Herzog zu Schleswig-Holstein	11. Aug. 1863
Johann Samuel Ersch	23. Juni 1766
Thomas Erskine	21. Jan. 1750
Christian Erslev	28. Dez. 1852
Johann Joachim Eschenburg	7. Dez. 1743
Adam Karl August Eschenmayer	4. Juli 1768
Johann Heinrich Alfred Escher	20. Febr. 1819
Hans Konrad Escher von der Linth	24. Aug. 1767
Hermann Eschke	6. Mai 1823
Johann Friedrich Eschscholtz	12. Nov. 1793
Escobar y Mendoza	1589
Friedrich von Esmarch	9. Jan. 1823
Don Baldomero Espartero	27. Febr. 1792
Espronceda	1810
Hans Henrik Essen	26. Sept. 1755
August von Essenwein	2. Nov. 1831
Robert Devereux Essex	10. Nov. 1567
Esterházy	1582
Estrées	3. Nov. 1624
Jacob Brönnum Scavenius Estrup	16. April 1825
Antoine Etex	20. März 1808
Karl von Etzel	6. Jan. 1812
Gaston Eu	28. April 1842
Rudolph Christoph Eucken	5. Jan. 1846
Eudes	1601
Eugen Prinz von Savoyen	18. Okt. 1663
Eugen Herzog von Württemberg	8. Jan. 1788
Eugenie Kaiserin der Franzosen	5. Mai 1826
Botho Eulenburg	31. Juli 1831
Karl Philipp Euler	8. Febr. 1828
Leonhard Euler	15. April 1707
Julius Euting	11. Juli 1839
Evans	1851
Evans	22. Nov. 1819
Evans	1755
Everdingen	1621
Sir George Everest	4. Juli 1790
Franz Evers	10. Juli 1871
Heinrich Ewald	16. Nov. 1803
Johannes Ewald	18. Nov. 1743
Johann Joachim Ewald	3. Sept. 1727
Remy Joseph Isidore Exelmans	13. Nov. 1775
Johann Julius Exner	30. Nov. 1825
Wilhelm Franz Exner	9. April 1840
Eyb	1417
August von Eye	24. Mai 1825
Jean Gabriel Eynard	28. Sept. 1775
Ernst von Eynern	2. April 1838
Edward John Eyre	5. Aug. 1815
Paul Eyschen	9. Sept. 1841
Johann Albert Eytelwein	31. Dez. 1764
Max Eyth	6. Mai 1836
Ezzelīno da Romāno Ezelin	26. April 1194
Faber	1817
Otto von Faber du Faur	3. Juni 1828
Fabre	1830
Fabre d´Eglantine	28. Dez. 1755
Georg Friedrich Alfred Fabrice	23. Mai 1818
Fabricius	1564
Fabricius	1537
Fadéjew	1824
Thomas Faed	8. Juni 1826
Ferdinand Fagerlin	5. Febr. 1825
Emile Faguet	17. Dez. 1847
Gabr. Daniel Fahrenheit	14. Mai 1686
Louis Léon César Faidherbe	3. Juni 1818
Faid'herbe	1617
Pierre Louis Charles Achille d Failly	21. Jan. 1810
Sir William Fairbairn	19. Febr. 1789
Julian Falat	30. Juli 1853
Rudolf Falb	13. April 1838
Falcone	1600
Hugh Falconer	29. Febr. 1808
William Falconer	11. Febr. 1732
Falconet	1716
Alexandre Falguière	7. Sept. 1831
Falieri	1278
Adalbert Falk	10. Aug. 1827
Max Falk	7. Okt. 1828
Gustav Falke	11. Jan. 1853
Jakob Falke	21. Juni 1825
Julius Falkenhayn	20. Febr. 1829
Clément Armand Fallières	6. Nov. 1841
Philipp Jakob Fallmerayer	10. Dez. 1790
Fallopia	1523
Alfred Frédéric Pierre Falloux	7. Mai 1811
Michael Faraday	22. Sept. 1791
Farel	1489
Farina	1685
Luigi Carlo Farini	22. Okt. 1812
Farnese	1503
Farquhar	1678
David Glasgow Farragut	5. Juli 1801
Karl Faulmann	24. Juni 1835
Jules Favre	21. März 1809
Louis Favre	29. Jan. 1826
Favre	1506
Fawkes	1570
James Fazy	12. Mai 1796
Gustav Theodor Fechner	19. April 1801
Hanns Fechner	7. Juni 1860
Fedi	1815
Fedótow	1811
Max Feilitzsch	12. Aug. 1834
Feizî	1547
Fejérváry	15. März 1833
Cajetan Felder	10. Sept. 1814
Franz Michael Felder	13. Mai 1839
Philipp Emanuel von Fellenberg	27. Juni 1771
Ferdinand Fellner	19. April 1874
Felsing	1766
Fénelon	6. Aug. 1651
Feodor	11. Mai 1557
Ferdinand I.	10. März 1503
Ferdinand II.	9. Juli 1578
Ferdinand III.	13. Juli 1608
Ferdinand Friedrich Herzog von Anhalt	25. Juni 1769
Ferdinand Maria	1636
Ferdinand Albrecht II.	19. Mai 1680
Ferdinand Fürst von Bulgarien	26. Febr. 1861
Ferdinand I.	19. April 1793
Ferdinand Erzherzog von Österreich	14. Juni 1529
Ferdinand II.	29. Okt. 1816
Ferdinand Prinz von Rumänien	24. Aug. 1865
Ferdinand	12. Jan. 1751
Ferdinand	1549
Adam Ferguson	20. Juni 1723
Ferid Pascha	1850
Fernandez y Gonzalez	1826
Anton Dominik Fernkorn	17. März 1813
Karl Ludwig Fernow	19. Nov. 1763
Ferrari	1471
Paolo Ferrari	5. April 1822
Ferreira	1528
Enrico Ferri	25. Febr. 1856
Jules Ferry	5. April 1832
Ferry de Bellemare	30. Mai 1846
Fersen	5. April 1719
Heinrich Ferstel	7. Juli 1828
Joseph Fesch	3. Jan. 1763
Festa	1467
Feti	1589
François Joseph Fétis	25. März 1784
Ernst Feuchtersleben	29. April 1806
Anselm Feuerbach	14. Nov. 1775
Octave Feuillet	11. Aug. 1812
Paul Féval	27. Sept. 1817
Erneste Feydeau	16. März 1821
Feyerabend	1528
Eugène Fichel	30. Aug. 1826
Johann Gottlieb Fichte	19. Mai 1762
Marsilius Ficinus	19. Okt. 1433
Adolf Fick	3. Sept. 1829
August Fick	5. Mai 1833
Cyrus West Field	30. Nov. 1819
John Field	26. Juli 1782
Henry Fielding	22. April. 1707
Joseph Marco Fieschi	3. Dez. 1790
Fiésco	1524
Fiesole	1387
Fiesole	1431
Alexander William George Duff Fife	10. Nov. 1849
Millard Fillmore	7. Jan. 1800
Pierre Marie Augustin Filon	28. Nov. 1841
Friedrich August von Finck	25. Nov. 1718
Karl Wilhelm Finck von Finckenstein	11. Febr. 1714
August Fink	30. April 1846
Otto Finsch	8. Aug. 1839
Walter Firle	22. Aug. 1859
Leopold Antoine Firmian	27. Mai 1679
Friedrich Fischbach	10. Febr. 1839
Antonius Fischer	30. Mai 1840
Emil Fischer	9. Okt. 1852
Fischer	1784
Johann Georg Fischer	25. Okt. 1816
Kuno Fischer	23. Juli 1824
Otto Fischer	28. Nov. 1852
Theobald Fischer	31. Dez. 1846
Artur Fitger	4. Okt. 1840
Fitzgerald	1834
Matthias Flacius	3. März 1520
Cäsar Flaischlen	12. Mai 1864
Albert Flamm	9. April 1823
Camille Flammarion	26. Febr. 1842
Flamsteed	1646
Flandern	24. März 1837
Hippolyte Flandrin	23. März 1809
Theodor Flathe	1. Juni 1827
Gustave Flaubert	12. Dez. 1821
John Flaxman	6. Juli 1755
Esprit Fléchier	10. Juni 1632
Paul Flechsig	29. Juni 1847
Heinrich Leberecht Fleischer	21. Febr. 1801
Paul Fleming	5. Okt. 1609
Graf Hans Heino von Flemming	8. Mai 1632
André Hercule de Fleury	22. Juni 1653
Paul Flickel	8. April 1852
Theodor Fliedner	21. Jan. 1800
Govaert Flinck	25. Jan. 1615
Matthew Flinders	16. März 1774
Karl Friedrich Flögel	3. Dez. 1729
Charles Thomas Floquet	5. Okt. 1828
Jean Pierre Claris de Florian	6. März 1755
Floris	1517
Friedrich Flotow	27. April 1812
Eduard Heinrich von Flottwell	23. Juli 1786
Marie Jean P Flourens	15. April 1794
Nikolas von der Flüe	21. März 1417
Johann Gottfried Flügel	22. Nov. 1788
Karl Flügge	9. Dez. 1847
Gisbert Flüggen	9. Febr. 1811
Michael Flürscheim	27. Jan. 1844
Antonio Fogazzaro	25. März 1842
Bengt Erland Fogelberg	8. Aug. 1786
Teofilo Folengo	8. Nov. 1491
John Henry Foley	24. Mai 1818
August Follen	21. Jan. 1794
Philipp Foltz	11. Mai 1805
Deodoro da Fonseca	5. Aug. 1827
Theodor Fontane	30. Dez. 1819
Fontanges	1661
Bernard le Bovier Fontenelle	11. Febr. 1657
Ernst Forberg	20. Okt. 1844
Forbes	1836
Edward Forbes	12. Febr. 1815
Albert Forbiger	2. Nov. 1798
Egidio Forcellini	26. Aug. 1688
Max von Forckenbeck	21. Okt. 1821
Ford	April 1586
François Alphonse Forel	2. Febr. 1841
Elie Frédéric Forey	10. Jan. 1804
Ernst Förstemann	18. Sept. 1822
Johann Reinhold Forster	22. Okt. 1729
John Forster	2. April 1812
Ernst Förster	8. April 1800
Heinrich Förster	24. Nov. 1800
Ludwig Förster	8. Okt. 1797
Wendelin Foerster	10. Febr. 1844
Wilhelm Foerster	16. Dez. 1832
Niccolò Forteguerri	25. Nov. 1674
Fortis	1842
Mariano Fortuny	11. Juni 1839
Ugo Foscolo	26. Jan. 1778
Jossie Fothergill	7. Juni 1851
Léon Foucault	18. Sept. 1819
Joseph Fouché	21. Mai 1759
Alfred Fouillée	18. Okt. 1838
Achille Fould	17. Nov. 1800
Heinrich August Fouqué	4. Febr. 1698
Fouquier-Tinville	1747
Fernand Foureau	17. Okt. 1850
Charles Fourier	7. April 1772
August Fournier	19. Juni 1850
Oscar Bardy de Fourtou	3. Jan. 1836
Fowler	1817
Charles James Fox	24. Jan. 1749
Fra Diavolo	1771
Jean Honoré Fragonard	17. April 1732
Charles Auguste Fraikin	14. Juni 1819
Wilhelm Fraknói	27. Febr. 1843
Anatole, France	16. April 1844
Francheville	1548
Francia	1450
Francia	1757
Francillon	1841
César Franck	10. Dez. 1822
Johann Franck	1. Juni 1618
August Hermann Francke	22. März 1663
Georg Arbogast Franckenstein	2. Juli 1825
François	2. Okt. 1853
Luise von François	27. Juni 1817
Albert Bernhard Frank	17. Jan. 1839
Franz Hermann Reinhold von Frank	25. März 1827
Frank	1712
Frank	1499
Bernhard Fränkel	17. Nov. 1836
Karl Fraenkel	2. Mai 1861
Ludwig August Frankl	3. Febr. 1810
Benjamin Franklin	17. Jan. 1706
Sir John Franklin	16. April 1786
Eduard Friedrich von Fransecky	16. Nov. 1807
Franz I.	8. Dez. 1708
Franz II.	12. Febr. 1768
Franz	12. Sept. 1494
Franz Joseph I.	18. Aug. 1830
Franz Ferdinand Erzherzog von Österreich-Este	18. Dez. 1863
Franz	19. Aug. 1777
Maria Ferdinand Franz	13. Mai 1822
Franz	1182
Franz	1416
Franz	11. Aug. 1567
Franz	1824
Robert Franz	28. Juni 1815
Frans Michael Franzen	9. Febr. 1772
Karl Emil Franzos	25. Okt. 1848
Julius Frauenstädt	17. April 1813
Joseph von Fraunhofer	6. März 1787
Paul Frederica	12. Aug. 1850
Fredro	1793
Freeman	1823
Marquard Freher	26. Juni 1565
Ferdinand Freiligrath	17. Juni 1810
Frémiet	1824
Gustav Frenssen	19. Okt. 1863
Karl Frenzel	6. Dez. 1827
Hubert Joseph Walthe Frère-Orban	22. April 1812
Friedrich Theodor Frerichs	24. März 1819
Karl Remigius Fresenius	28. Dez. 1818
Augustin Jean Fresnel	10. Mai. 1788
Emil Frey	24. Okt. 1838
Hermann Frey	18. Juni 1839
Charles Louis de Saulces Freycinet	14. Nov. 1828
Gustav Freytag	13. Juli 1816
Karl Friedrich Friccius	28. Juni 1779
Gustav Adolf Fricke	23. Aug. 1822
Emil Bohusch Frida	16. Feb. 1853
Minona Frieb-Blumauer	11. Mai 1816
Emil Friedberg	22. Dez. 1837
Heinrich von Friedberg	27. Jan. 1813
Robert Friedberg	28. Juni 1851
Karl Rudolph Friedenthal	15. Sept. 1827
Heinrich Friedjung	18. Jan. 1851
Valentin Friedland	14. Febr. 1490
Julius Friedländer	25. Juni 1813
Ludwig Philolog Friedländer	16. Juli 1824
Alfred Friedmann	26. Okt. 1845
Siegwart Friedmann	25. April 1842
Nikolaus Friedreich	31. Juli 1825
Friedrich I.	1121
Friedrich II.	26. Dez. 1194
Friedrich III.	1286
Friedrich IV.	21. Sept. 1415
Friedrich III.	18. Okt. 1831
Friedrich I.	29. April 1831
Friedrich I.	9. Sept. 1826
Friedrich I.	1372
Friedrich II.	19. Nov. 1413
Friedrich Wilhelm	16. Febr. 1620
Friedrich Wilhelm Herzog von Braunschweig	9. Okt. 1771
Friedrich	18. März 1609
Friedrich Wilhelm I.	20. Aug. 1802
Friedrich II.	14. Aug. 1720
Friedrich II.	9. Juni 1633
Friedrich Franz II.	28. Febr. 1823
Friedrich Wilhelm Großherzog von Mecklenburg-Stre	17. Okt. 1819
Friedrich	1257
Friedrich Heinrich Prinz von Oranien	29. Jan. 1584
Friedrich	1211
Friedrich IV.	1382
Friedrich I.	1425
Friedrich II.	9. Dez. 1482
Friedrich IV.	5. März 1574
Friedrich V.	26. Aug. 1596
Friedrich Wilhelm I.	15. Aug. 1688
Friedrich Wilhelm II.	25. Sept. 1744
Friedrich Wilhelm III.	3. Aug. 1770
Friedrich Wilhelm IV.	15. Okt. 1795
Nikolaus Friedrich Karl	20. März 1828
Friedrich Leopold Prinz von Preußen	14. Nov. 1865
Friedrich I.	29. März 1369
Friedrich II.	22. Aug. 1412
Friedrich III.	17. Jan. 1463
Friedrich August I.	23. Dez. 1750
Friedrich August II.	18. Mai 1797
Friedrich August III.	25. Mai 1865
Christian August Friedrich	6. Juli 1829
Friedrich I.	28. April 1676
Friedrich Fürst zu Waldeck und Pyrmont	20. Jan. 1865
Friedrich I.	6. Nov. 1754
Johann Friedrich	5. Mai 1836
Jakob Friedrich Fries	23. Aug. 1773
Richard Friese	15. Dez. 1854
Friedrich Friesen	27. Sept. 1785
Hermann Friesen	27. Febr. 1802
Richard Friesen	9. Aug. 1808
Nikodemus Frischlin	22. Sept. 1547
Frith	1819
Anton Johann Fritsch	30. Juli 1832
Gustav Fritsch	5. März 1838
Heinrich Fritsch	5. Dez. 1844
Jakob Friedrich Fritsch	22. März 1731
Karl von Fritsch	11. Nov. 1838
Adolf Fritzen	10. Aug. 1838
Friedrich Fröbel	21. April 1782
Abraham Emanuel Fröhlich	1. Febr. 1796
Karl Fröhlich	8. April 1821
Eugen Fröhner	11. März 1858
Jakob Frohschammer	6. Jan. 1821
Froissart	1333
Eugène Fromentin	24. Okt. 1820
Frommann	9. Aug. 1797
Emil Frommel	5. Jan. 1828
Karl Fröschl	23. Aug. 1848
Charles Auguste Frossard	26. Aug. 1807
James Anthony Froude	23. April 1818
Frundsberg	24. Sept. 1473
Elisabeth Fry	21. Mai 1780
Anders Fryxell	7. Febr. 1795
Fuad Pascha	17. Jan. 1814
Leonhard Fuchs	17. Jan. 1501
Viktor von Fuchs	25. Okt. 1840
Füeßli	1707
Heinrich Füger	8. Dez. 1751
Joseph Führich	9. Febr. 1800
Ludwig Fulda	15. Juli 1862
Georgiana Fullerton	23. Sept. 1812
Fulton	1765
Otto Funcke	9. März 1836
Franz Xaver von Funk	12. Okt. 1840
Max Karl Fürbringer	30. Jan. 1846
Frederick James Furnivall	4. Febr. 1825
Adolf Furtwängler	30. Juni 1853
Nu Fustel de Coulanges	18. März 1830
Carlo Francesco Gabba	14. April 1835
Otto Gaebel	13. Nov. 1837
Hans Conon von der Gabelentz	13. Okt. 1807
Gabelsberger	9. Febr. 1789
Ludwig Gabillon	16. Juli 1828
Aloys Gabl	24. Sept. 1845
Ludwig Gablenz	19. Juli 1814
Emile Gaboriau	9. Nov. 1835
Gabrieli	1557
Gaddi	1333
Niels Wilhelm Gade	22. Febr. 1817
Theodor Gaedertz	6. Dez. 1815
Georg Gaffky	17. Febr. 1850
Hans Christoph Ernst Gagern	25. Jan. 1766
Gagneur	1832
Gaidoz	1842
Wilhelm Gail	7. März 1804
Ferdinand Gaillard	7. Jan. 1814
James Gairdner	22. März 1828
Jakob Gaisser	21. Nov. 1825
Ljudevit Gaj	8. Juli 1809
Christoph Bernhard von Galen	15. Okt. 1600
Galileo Galilei	15. Febr. 1564
Franz Joseph Gall	9. März 1758
Louis Gallait	10. Mai 1810
Gallas	16. Sept. 1584
Johann Gottfried Galle	9. Juni 1812
José Gallegos	3. Mai 1859
Gaston Alexandre August Galliffet	23. Jan. 1830
Josephine Gallmeyer	27. Febr. 1838
Luigi Galvani	9. Sept. 1737
Léon Gambetta	3. April 1838
Ludwig Ganghofer	7. Juli 1855
Gapon	1873
Ilija Garáschanin	28. Jan. 1812
Dominique Josephe Garat	8. Sept. 1749
Johann Garay	10. Okt. 1812
Richard Karl Garbe	9. März 1857
Arne Garborg	25. Jan. 1851
Manuel Garcia	22. Jan. 1775
Garcia Gutierrez	1812
August Garcke	25. Okt. 1819
Gardie	1520
Samuel Rawson Gardiner	4. März 1829
Karl Gareis	24. April 1844
James Abram Garfield	19. Nov. 1831
Giuseppe Garibaldi	4. Juli 1807
Richard Garnett	27. Febr. 1835
Charles Garnier	6. Nov. 1825
Francis Garnier	25. Juli 1839
Gustave Alexandre Garnier	15. Aug. 1835
Garnier	1534
Etienne Joseph Garnier-Pagès	27. Dez. 1801
Garofalo	1481
David Garrick	19. Febr. 1716
Wsewolod Michajlowitsch Garschin	14. Febr. 1855
August Gärtner	18. April 1848
Friedrich von Gärtner	10. Dez. 1792
Heinrich Gärtner	22. Febr. 1828
Joseph Gärtner	12. März 1732
Christian Garve	7. Jan. 1742
Elisabeth Clephorn Gaskell	29. Sept. 1810
Adolf Gaspary	23. Mai 1849
Wilhelm Gaß	28. Nov. 1813
Hans Gasser	2. Okt. 1817
Joseph Gasser	22. Nov. 1816
Léon Gustave Cyprien Gastinel	15. Aug. 1823
Richard Jordan Gatling	12. Sept. 1818
Johann Christoph Gatterer	13. Juli 1727
Albert Gaudry	15. Sept. 1827
Franz Gaudy	19. April 1800
Gauermann	1773
August Gaul	22. Okt. 1869
Karl Friedrich Gauß	30. April 1777
Henry Gauthier-Villars	10. Aug. 1859
Léon Gautier	8. Aug. 1832
Théophile Gautier	31. Aug. 1811
Paul Gautsch	26. Febr. 1851
Paul Gavarni	13. Jan. 1804
Gay	1685
Sophie Gay	1. Juli 1776
Karl Gayer	15. Okt. 1822
Louis Joseph Gay-Lussac	6. Dez. 1778
Johann Gebauer	8. Okt. 1838
Gebhard Truchseß von Waldburg	10. Nov. 1547
Eduard von Gebhardt	13. Juni 1838
Otto Gebler	8. Sept. 1838
Lorenz Gedon	12. Nov. 1843
Willem Geefs	10. Sept. 1806
Louis Gerhard Geer af Finspång	18. Juli 1818
Julius Geertz	21. April 1837
Heinrich Geffcken	9. Dez. 1830
Joseph Anton von Gegenbaur	6. März 1800
Karl Gegenbaur	21. Aug. 1826
Franz Ludwig Gehe	10. Mai 1810
Emanuel von Geibel	17. Okt. 1815
Abraham Geiger	24. Mai 1810
Lazarus Geiger	21. Mai 1829
Nikolaus Geiger	6. Dez. 1849
Erik Gustav Geijer	12. Jan. 1783
Gustaf af Geijerstam	5. Jan. 1858
Archibald Geikie	28. Dez. 1835
Johann Geiler	16. März 1445
Hans Bruno Geinitz	16. Okt. 1814
Pieter Geiregat	25. Febr. 1838
Philipp Konrad Moritz Geiß	7. Sept. 1805
Johs. von Geissel	5. Febr. 1796
Heinrich Geißler	26. Mai 1814
Marie Geistinger	26. Juli 1836
Ernst August Geitner	12. Juni 1783
Eugen Gelcich	14. Jan. 1854
Christian Fürchtegott Gellert	4. Juli 1715
Johann Heinrich Gelzer	17. Okt. 1813
Eduard Genast	15. Juli 1797
Alexandre Gendebien	4. Dez. 1789
Richard Genée	7. Febr. 1823
Bonaventura Genelli	28. Sept. 1798
Petrus Augustus de Genestet	21. Nov. 1829
Heinrich Gottfried Gengler	25. Juli 1817
Genlis	25. Jan. 1746
Otto Franz Gensichen	4. Febr. 1847
Wilhelm Gentz	9. Dez. 1822
Ferdinand Genua	15. Nov. 1822
Geoffroy Saint-Hilaire	15. April 1772
Georg Friedrich Markgraf von Baden-Durlach	30. Jan. 1573
Georg Wilhelm	3. Nov. 1595
Georg Markgraf von Brandenburg-Ansbach,	4. März 1484
Georg Herzog von Braunschweig-Lüneburg	17. Febr. 1582
Georg I.	24. Dez. 1845
Georg I.	28. März 1660
Georg II.	30. Okt. 1683
Georg III.	4. Juni 1738
Georg IV.	12. Aug. 1762
Georg V.	27. Mai 1819
Georg Prinz von Preußen	12. Febr. 1826
Georg	27. Aug. 1471
Georg König von Sachsen	8. Aug. 1832
Georg (II.)	2. April 1826
Georg Fürst zu Schaumburg-Lippe	10. Okt. 1846
Georg Viktor Fürst zu Waldeck und Pyrmont	14. Jan. 1831
Georg Prinz von Wales	3. Juni 1865
Henry George	2. Sept. 1839
Stefan George	12. Juli 1868
Jan Daniel Georgens	12. Juni 1823
Karl Ernst Georges	26. Dez. 1806
Marguerite Josephine Weime Georges	23. Febr. 1787
Etienne Maurice Gérard	4. April 1773
Ernst Ludwig Gerber	29. Sept. 1746
Johann Gottfried Heinrich Gerber	18. Nov. 1832
Karl Friedrich Wilhelm von Gerber	11. April 1823
Martin Gerbert	13. Aug. 1720
Eduard Gerhard	29. Nov. 1795
Johann Gerhard	17. Okt. 1582
Dagobert von Gerhardt	12. Juli 1831
Karl Gerhardt	5. Mai 1833
Karl Friedrich Gerhardt	21. Aug. 1816
